,Date,Open,High,Low,Close,Volume,Diff,isLarger
162,2024-05-09,307.0,308.205,302.92,306.61,3238246,-0.09140469428395193,1
163,2024-05-08,310.12,313.4,310.12,311.99,2296394,-1.7546720589674152,1
164,2024-05-07,307.9,312.145,307.6006,310.66,2483629,0.4262957146062263,0
165,2024-05-06,305.17,306.79,303.27,306.06,2361453,1.4807184703534517,0
166,2024-05-03,302.52,304.96,301.671,303.71,2767141,0.767823302620414,0
167,2024-05-02,300.76,303.33,298.27,300.34,2684185,1.1096111422080384,0
168,2024-05-01,300.13,303.49,298.1,298.66,2617356,0.5593660518079275,0
169,2024-04-30,302.0,303.01,299.68,300.91,5224952,-0.753365030469439,1
170,2024-04-29,307.06,308.615,302.5,303.16,4719334,-0.7477318799641068,1
171,2024-04-26,309.41,309.49,307.27,308.01,3371848,-1.5998152790605502,1
172,2024-04-25,309.19,310.2439,305.35,309.0,3638978,-0.32141813577482026,1
173,2024-04-24,315.84,315.84,310.69,313.54,4133828,-1.469255663430431,1
174,2024-04-23,318.48,319.81,316.49,316.83,2000291,-1.0493079032978017,1
175,2024-04-22,318.54,319.06,315.5,317.42,2433374,-0.18621973929238322,1
176,2024-04-19,317.86,318.55,314.6,316.91,3381532,0.16067040514144537,0
177,2024-04-18,312.63,317.77,312.01,316.0,3025199,0.2871477706604395,0
178,2024-04-17,316.87,317.02,312.61,314.54,2760011,0.4620253164556942,0
179,2024-04-16,315.14,315.64,311.84,313.94,2900382,0.1907547529725946,0
180,2024-04-15,316.05,321.6,312.18,313.27,2997919,0.21341657641588085,0
181,2024-04-12,320.97,322.5,313.19,315.4,4207862,-0.6799246656239006,1
182,2024-04-11,326.05,327.0,323.26,325.19,2204402,-3.103994927076741,1
183,2024-04-10,328.35,329.52,323.64,324.4,2156676,0.24293489959717363,0
184,2024-04-09,333.65,334.87,329.82,334.45,2416637,-3.098027127003718,1
185,2024-04-08,334.03,335.0,331.68,331.8,2431946,0.792345642098951,0
186,2024-04-05,331.53,333.82,330.33,333.0,3694783,-0.36166365280287494,1
187,2024-04-04,334.12,337.99,330.17,330.47,2272998,0.7597597597597456,0
188,2024-04-03,336.24,337.19,331.89,332.28,1975675,-0.5477047840953588,1
189,2024-04-02,336.67,338.88,333.0,336.46,2453410,-1.25797520163718,1
190,2024-04-01,344.86,345.0,338.065,339.17,2320290,-0.8054449265886063,1
191,2024-03-28,341.42,346.98,340.84,346.61,3614949,-2.1935902349853933,1
192,2024-03-27,337.88,342.36,337.88,340.94,3295226,1.6358443207062692,0
