Date,Open,High,Low,Close,Volume
2023-04-19,164.507,166.848,164.248,166.32,48095557.347391
2023-04-18,164.803,166.104,164.358,165.172,50315728.034522
2023-04-17,163.801,164.099,162.75,163.939,41842804.896576
2023-04-14,163.305,165.022,162.541,163.92,49774979.429572
2023-04-13,160.368,164.507,160.161,164.268,68984077.64673
2023-04-12,159.961,160.795,158.533,158.85,50527434.427225
2023-04-11,161.083,161.093,159.257,159.544,48019010.893529
2023-04-10,160.161,160.765,158.83,160.765,48092247.513759
2023-04-06,161.162,163.673,160.735,163.375,45747185.031829
2023-04-05,163.454,163.762,160.538,162.481,51916961.848291
2023-04-04,165.296,165.537,163.821,164.338,46642343.84918
2023-04-03,162.987,164.992,162.939,164.872,57424390.964905
2023-03-31,161.172,163.713,160.646,163.614,69290613.191856
2023-03-30,160.268,161.202,160.012,161.093,49891094.722768
2023-03-29,158.126,159.794,158.106,159.514,51709287.92951
2023-03-28,156.737,157.253,154.763,156.42,46353949.901304
2023-03-27,158.692,159.514,156.638,157.044,52802394.753783
2023-03-24,157.621,159.089,156.618,159.0,59722483.843689
2023-03-23,157.591,160.288,156.45,157.688,68154009.872444
2023-03-22,158.056,160.875,156.578,156.598,76297320.345697
2023-03-21,156.092,158.156,155.318,158.037,74519921.54397
2023-03-20,153.86,156.588,152.946,156.171,74220716.211999
2023-03-17,154.862,155.516,153.076,153.79,99722982.327178
2023-03-16,150.972,155.238,150.458,154.634,76854275.44419
2023-03-15,150.009,152.049,148.75,151.796,77774908.087678
2023-03-14,150.099,152.202,148.929,151.399,74275622.763941
2023-03-13,146.651,151.945,146.547,149.295,85121505.121054
2023-03-10,149.038,149.763,146.457,147.341,69111825.735229
2023-03-09,152.361,153.33,149.052,149.414,54257064.619106
2023-03-08,151.617,152.272,150.645,151.676,47576128.142808
2023-03-07,152.5,152.827,149.949,150.418,56623984.702122
2023-03-06,152.585,155.081,152.262,152.63,88246804.441092
2023-03-03,146.891,149.93,146.181,149.852,71288713.594923
2023-03-02,143.254,145.564,142.776,144.771,52691020.464668
